ME23029955700,-67.003914,44.913741
ME23029955600,-67.090187,44.989089
ME23029955800,-67.103165,44.798488
ME23029955500,-67.242434,45.166045
ME23029955900,-67.320396,44.934085
ME23029956100,-67.390408,44.733811
ME23029955400,-67.418795,45.157917
ME23029956200,-67.487435,44.728109
ME23029955300,-67.535866,45.124903
ME23029956300,-67.595169,44.61147
ME23029956400,-67.76172,44.611702
ME23029955100,-67.762957,45.140454
ME23003952400,-67.816802,46.140481
ME23003951700,-67.852671,46.746512
ME23003952500,-67.860673,46.130526
ME23003951600,-67.86141,46.927077
ME23003952100,-67.876771,46.530934
ME23029956500,-67.906009,44.541573
ME23003951900,-67.98434,46.656005
ME23003951300,-67.985671,46.884509
ME23003951800,-67.999123,46.713478
ME23003951400,-67.999155,46.837721
ME23003952000,-68.014432,46.65903
ME23003952600,-68.015026,46.11735
ME23003950200,-68.020974,47.224068
ME23003951200,-68.024054,46.866969
ME23009965800,-68.058207,44.436634
ME23003952300,-68.078344,46.364388
ME23003952900,-68.078898,45.821723
ME23019025500,-68.128793,45.425712
ME23003950100,-68.135324,47.02764
ME23003951100,-68.142435,46.684759
ME23003951000,-68.158495,46.824437
ME23009965700,-68.190446,44.562217
ME23009965100,-68.241729,44.842848
ME23009965900,-68.262048,44.402596
ME23003950300,-68.297648,47.319377
ME23009966100,-68.300784,44.266175
ME23009966000,-68.317745,44.330422
ME23009965600,-68.319124,44.491185
ME23003952700,-68.322778,46.036985
ME23019024500,-68.360281,45.298414
ME23003950400,-68.362243,47.264288
ME23009966200,-68.399358,44.187569
ME23003950900,-68.4332,46.630838
ME23019027000,-68.466664,45.366013
ME23009965500,-68.476039,44.572223
ME23019026500,-68.486582,45.536613
ME23009966300,-68.542957,44.443519
ME23009965200,-68.551445,44.692558
ME23019028000,-68.561721,45.260959
ME23003950600,-68.572247,47.241863
ME23019031000,-68.577827,45.632242
ME23019009000,-68.591823,44.793691
ME23019008001,-68.600083,44.94328
ME23019022500,-68.611057,45.134488
ME23019008002,-68.627786,45.178803
ME23019029000,-68.647608,45.829619
ME23019007100,-68.649561,44.931968
ME23009966500,-68.662464,44.318572
ME23019006100,-68.667894,44.881219
ME23019006300,-68.669392,44.899368
ME23009966600,-68.671295,44.204676
ME23009965400,-68.692369,44.571659
ME23019028500,-68.697798,45.301278
ME23019005000,-68.705169,44.838861
ME23019030000,-68.706801,45.656668
ME23019007200,-68.707015,44.940818
ME23019006200,-68.727298,44.90028
ME23019004300,-68.7405,44.793564
ME23009966400,-68.741654,44.443756
ME23019021500,-68.745924,45.129405
ME23019000300,-68.753528,44.817037
ME23009965300,-68.760231,44.614906
ME23019004200,-68.76417,44.777904
ME23019000200,-68.766679,44.802621
ME23019004100,-68.771458,44.786494
ME23019000400,-68.775037,44.81247
ME23019000600,-68.77737,44.797121
ME23019001100,-68.785241,44.83701
ME23019000500,-68.785255,44.80587
ME23019003000,-68.78905,44.721393
ME23019000700,-68.796046,44.79587
ME23019001000,-68.796855,44.82407
ME23013970100,-68.82024,44.067033
ME23019000900,-68.822339,44.83792
ME23019020000,-68.84302,44.917042
ME23019002000,-68.88022,44.748148
